Full Country Name,State/Province Code,Parent Chain Name,City,Property Name,Property Address
Australia,SA,InterContinental Hotels Group,Adelaide,Intercontinental Adelaide,North Terrace
Australia,SA,TFE-Toga Far East,Adelaide,Adina Apartment Hotel Adelaide Treasury,2 Flinders St
Australia,SA,Silver Needle Hospitality,Adelaide,Grand Adelaide Chifley,208 South Terrace
Australia,VIC,Quest Hotels,Ballarat,Quest Ballarat,7 Dawson Street North
Australia,VIC,Langham Hotels,Melbourne,"The Langham, Melbourne",One Southgate Ave
Australia,VIC,TravelClick,Melbourne,Crown Metropol,8 Whiteman St
Australia,VIC,TravelClick,Melbourne,Crown Promenade Hotel,8 Whiteman St
Australia,VIC,InterContinental Hotels Group,Melbourne,Crowne Plaza Melbourne,1-5 Spencer St
Australia,VIC,Accor Hotels,Melbourne,Novotel Melbourne On Collins,270 Collins St
Australia,VIC,InterContinental Hotels Group,Melbourne,Holiday Inn On Flinders Melbourne,575 Flinders Ln
Australia,VIC,TFE-Toga Far East,Melbourne,Adina Apartment Hotel Melbourne,189 Queen St
Australia,VIC,Ascott Hotels,Melbourne,Citadines on Bourke Melbourne,131 Bourke St
Australia,VIC,Oaks Hotels & Resorts,Melbourne,Oaks On Market,60 Market St
Australia,VIC,Oaks Hotels & Resorts,Melbourne,Oaks on William,350 William Street
Australia,VIC,TFE-Toga Far East,Melbourne,"Adina Apartment Hotel Melbourne, Northbank",550 Flinders St
Australia,VIC,Mantra Hotels,Melbourne,Mantra Southbank,31 City Rd
Australia,VIC,TFE-Toga Far East,Melbourne,Travelodge Southbank Melbourne,Cnr Southgate Ave And Riverside Quay
Australia,VIC,TFE-Toga Far East,Saint Kilda,Adina Apartment Hotel St Kilda,157 Fitzroy St
Australia,VIC,TFE-Toga Far East,South Yarra,Adina Apartment Hotel South Yarra,52 Darling St
Australia,VIC,Mantra Hotels,Tullamarine,Mantra Tullamarine Hotel,2-12 Trade Park Dr
Australia,WA,TravelClick,Burswood,Crown Promenade Perth,Corner of Bolton Ave
Australia,WA,Starwood,Perth,Four Points by Sheraton Perth,707 Wellington St
Australia,WA,TFE-Toga Far East,Perth,Adina Apartment Hotel Perth,33 Mounts Bay Rd
Australia,WA,TFE-Toga Far East,Perth,"Adina Apartment Hotel Perth, Barrack Plaza",138 Barrack St
Australia,WA,Mantra Hotels,Perth,Mantra On Murray,305 Murray St
Australia,WA,Pan Pacific,Perth,Pan Pacific Perth,207 Adelaide Terrace
Austria, ,Marriott International,Linz,Courtyard Linz,Europaplatz 2
Austria, ,Accor Hotels,Linz,Ibis Linz,Kaerntnerstr 18-20
Austria, ,Marriott International,Vienna,Courtyard Vienna Messe,Trabrennstrasse 4
Austria, ,InterContinental Hotels Group,Vienna,Holiday Inn Vienna City Centre,Margaretenstrasse 53
Austria, ,Bookassist,Vienna,Arcotel Kaiserwasser,Wagramerstrasse 8
Austria, ,Hilton Hotels,Vienna,Hilton Vienna Danube,Handelskai 269
Austria, ,ITS Hotels,Vienna,Stefanie Hotel Wien,Taborstrasse 12
Austria, ,Accor Hotels,Vienna,Novotel Wien City,Aspernbruckengasse 1
